date,diesel_price_prophet,diesel_price_prophet_lower,diesel_price_prophet_upper
2026-05-02,2034.744971487025,2005.2353278539863,2064.206235400707
2026-05-03,2038.832678909928,2012.1807223523715,2068.7059993846415
2026-05-04,2044.1939110066492,2016.2326634682806,2072.036975668096
2026-05-05,2049.470482096678,2021.9456070132985,2077.05503983068
2026-05-06,2055.9862638399336,2028.877204096992,2084.6833512530657
2026-05-07,2062.847528065743,2036.3036823587397,2092.885702422564
2026-05-08,2069.133290908647,2040.8295604802186,2095.9107617985132
2026-05-09,2073.347108235775,2044.7404805397534,2100.342900539295
2026-05-10,2079.64558429709,2050.1293230648803,2105.71113351649
2026-05-11,2087.0325497855342,2057.3019289909766,2116.346763384093
2026-05-12,2094.0952994924514,2066.3006751371695,2120.4806144871745
2026-05-13,2102.109999168973,2074.0886981402173,2128.8454112115824
2026-05-14,2110.14339179903,2083.0354474220103,2140.521030076417
2026-05-15,2117.2442737577744,2088.5137333316256,2144.9735438272646
2026-05-16,2121.896158794398,2094.281751351765,2151.113878817544
2026-05-17,2128.2463672342747,2101.29172641763,2154.993874616474
2026-05-18,2135.3004802500964,2106.6697174639203,2164.1231816042705
2026-05-19,2141.6585417016145,2112.927342300845,2168.805714975025
2026-05-20,2148.6201183291064,2119.8555319882844,2177.3930627516797
2026-05-21,2155.2853584925333,2126.205751527558,2181.6471191712703
2026-05-22,2160.7455384320233,2133.759997396621,2188.733371963574
2026-05-23,2163.534540465109,2136.2932568821443,2192.594734973423
2026-05-24,2167.856534201116,2139.1175912428735,2196.0416081945
2026-05-25,2172.7788405458705,2142.9309511744596,2199.150063257499
2026-05-26,2176.966406011984,2147.804881150408,2205.1669452900305
2026-05-27,2181.7850469385608,2152.8766209728547,2210.2974391427065
2026-05-28,2186.400655039807,2159.5309080171874,2215.9971495645163
2026-05-29,2189.967905434378,2160.8483319803827,2217.551653859867
2026-05-30,2191.079963213462,2162.4364620900055,2218.275897384128
2026-05-31,2193.9945092716584,2165.7925922203876,2220.3118872128052
